ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
mmu04380	Osteoclast differentiation	9/327	140/11972	0.0642857142857143	2.35360419397117	2.69957858249868	0.0145981967590011	0.113350704246361	0.0971706595413385	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000003545(Fosb)/ENSMUSG00000015755(Tab2)/ENSMUSG00000071076(Jund)/ENSMUSG00000006519(Cyba)/ENSMUSG00000052837(Junb)/ENSMUSG00000021250(Fos)/ENSMUSG00000038037(Socs1)	9
mmu05132	Salmonella infection	19/327	409/11972	0.0464547677261614	1.700784340115	2.41646286166009	0.0170386004665306	0.128519729233259	0.110174409031701	ENSMUSG00000027291(Vps39)/ENSMUSG00000081721(Gm13882)/ENSMUSG00000106574(Gm2451)/ENSMUSG00000093447(Gm5139)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000007458(M6pr)/ENSMUSG00000030744(Rps3)/ENSMUSG00000015755(Tab2)/ENSMUSG00000035770(Dync1li2)/ENSMUSG00000018707(Dync1h1)/ENSMUSG00000021250(Fos)/ENSMUSG00000044147(Arf6)/ENSMUSG00000054364(Rhob)/ENSMUSG00000020580(Rock2)/ENSMUSG00000022346(Myc)/ENSMUSG00000098222(Gm8318)/ENSMUSG00000098123(Gm4518)/ENSMUSG00000023944(Hsp90ab1)	19
mmu04141	Protein processing in endoplasmic reticulum	11/327	198/11972	0.0555555555555556	2.0339789330615	2.45839472255252	0.02012052259235	0.147550499010567	0.126488665419744	ENSMUSG00000031333(Abcb7)/ENSMUSG00000008763(Man1a2)/ENSMUSG00000028757(Ddost)/ENSMUSG00000041556(Fbxo2)/ENSMUSG00000025408(Ddit3)/ENSMUSG00000031835(Mbtps1)/ENSMUSG00000031770(Herpud1)/ENSMUSG00000092116(Sec61bl)/ENSMUSG00000042406(Atf4)/ENSMUSG00000023944(Hsp90ab1)/ENSMUSG00000090877(Hspa1b)	11
mmu04935	Growth hormone synthesis, secretion and action	7/327	103/11972	0.0679611650485437	2.48816840355096	2.54175081911743	0.0226149080126923	0.16136042473921	0.138327317858573	ENSMUSG00000039943(Plcb4)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052837(Junb)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)/ENSMUSG00000038037(Socs1)/ENSMUSG00000024241(Sos1)	7
mmu05222	Small cell lung cancer	7/327	104/11972	0.0673076923076923	2.46424370736297	2.51310487390517	0.0237012555659632	0.164661354458271	0.141157062234961	ENSMUSG00000026479(Lamc2)/ENSMUSG00000025860(Xiap)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)	7
mmu01522	Endocrine resistance	6/327	82/11972	0.0731707317073171	2.67889908256881	2.55628891027623	0.0245029832189487	0.165866347943653	0.142190051068124	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000018501(Ncor1)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021250(Fos)/ENSMUSG00000024241(Sos1)	6
mmu04360	Axon guidance	10/327	181/11972	0.0552486187845304	2.02274148039265	2.32326731989193	0.0268899887700777	0.177473925882513	0.152140725935966	ENSMUSG00000067336(Bmpr2)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000006445(Epha2)/ENSMUSG00000028780(Sema3c)/ENSMUSG00000030084(Plxna1)/ENSMUSG00000021549(Rasa1)/ENSMUSG00000020580(Rock2)/ENSMUSG00000054855(Rnd1)/ENSMUSG00000024122(Pdpk1)	10
mmu05217	Basal cell carcinoma	5/327	64/11972	0.078125	2.86028287461774	2.50045421861391	0.0302765347424412	0.194951345658646	0.167123362506415	ENSMUSG00000041075(Fzd7)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)	5
mmu05218	Melanoma	5/327	66/11972	0.0757575757575758	2.77360763599296	2.42111781790243	0.0339779310057648	0.207298562513491	0.177708097848487	ENSMUSG00000027208(Fgf7)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)	5
mmu04066	HIF-1 signaling pathway	13/327	270/11972	0.0481481481481481	1.76278174198663	2.12432749251979	0.0343891381379633	0.207298562513491	0.177708097848487	ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000081721(Gm13882)/ENSMUSG00000106574(Gm2451)/ENSMUSG00000093447(Gm5139)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000004267(Eno2)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000114737(Gm8483)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000098222(Gm8318)/ENSMUSG00000098123(Gm4518)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000055839(Elob)	13
mmu05220	Chronic myeloid leukemia	6/327	89/11972	0.0674157303370786	2.46819915472632	2.32962634929766	0.0347868809641934	0.207298562513491	0.177708097848487	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)/ENSMUSG00000024241(Sos1)	6
mmu04657	IL-17 signaling pathway	7/327	114/11972	0.0614035087719298	2.24808197864692	2.24367092610687	0.0365872086133422	0.207298562513491	0.177708097848487	ENSMUSG00000056501(Cebpb)/ENSMUSG00000052684(Jun)/ENSMUSG00000003545(Fosb)/ENSMUSG00000015755(Tab2)/ENSMUSG00000071076(Jund)/ENSMUSG00000021250(Fos)/ENSMUSG00000023944(Hsp90ab1)	7
mmu05031	Amphetamine addiction	5/327	68/11972	0.0735294117647059	2.69203094081669	2.34469114308523	0.0379485167928816	0.207298562513491	0.177708097848487	ENSMUSG00000052684(Jun)/ENSMUSG00000003545(Fosb)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)/ENSMUSG00000022602(Arc)	5
