ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Classification
GO:0010269	response to selenium ion	1/823	51/65628	0.0196078431372549	1.56357658494747	0.4537317735915	0.474733848242553	0.604491819975241	0.550682185648822	ENSMUSG00000075702(Selenom)	1	biological_process
GO:0010273	detoxification of copper ion	1/823	21/65628	0.0476190476190476	3.7972574205867	1.44478734308712	0.232835312567363	0.477995975588345	0.435446535205575	ENSMUSG00000098222(Gm8318)	1	biological_process
GO:0010314	phosphatidylinositol-5-phosphate binding	1/823	53/65628	0.0188679245283019	1.50457369494945	0.414123930049763	0.487835534017421	0.613187887176181	0.558604160991613	ENSMUSG00000041801(Phlda3)	1	molecular_function
GO:0010369	chromocenter	1/823	56/65628	0.0178571428571429	1.42397153272001	0.357691344915049	0.506878594801857	0.626036678561845	0.570309200314549	ENSMUSG00000029836(Cbx3)	1	cellular_component
GO:0010385	double-stranded methylated DNA binding	1/823	15/65628	0.0666666666666667	5.31616038882138	1.88401862862734	0.172474553099817	0.468540312922619	0.426832580787245	ENSMUSG00000007812(Zfp655)	1	molecular_function
GO:0010447	response to acidic pH	1/823	33/65628	0.0303030303030303	2.41643654037336	0.917182288743246	0.340683393493871	0.530000715531774	0.48282200483115	ENSMUSG00000000753(Serpinf1)	1	biological_process
GO:0010458	exit from mitosis	1/823	43/65628	0.0232558139534884	1.85447455424002	0.631637690045353	0.418893227821424	0.578107350846074	0.526646364737583	ENSMUSG00000085342(Gm12254)	1	biological_process
GO:0010460	positive regulation of heart rate	1/823	35/65628	0.0285714285714286	2.27835445235202	0.852498256287727	0.357124208335863	0.539847206137496	0.491791997126417	ENSMUSG00000038418(Egr1)	1	biological_process
GO:0010470	regulation of gastrulation	1/823	28/65628	0.0357142857142857	2.84794306544003	1.10218023483755	0.297720649482675	0.499585417933409	0.455114164947869	ENSMUSG00000033149(Phldb2)	1	biological_process
GO:0010484	histone H3 acetyltransferase activity	1/823	17/65628	0.0588235294117647	4.6907297548424	1.71508367992434	0.193104222746653	0.468540312922619	0.426832580787245	ENSMUSG00000040481(Bptf)	1	molecular_function
GO:0010498	proteasomal protein catabolic process	2/823	114/65628	0.0175438596491228	1.39898957600563	0.480489446238548	0.419395353634335	0.578107350846074	0.526646364737583	ENSMUSG00000060073(Psma3)/ENSMUSG00000024483(Ankhd1)	2	biological_process
GO:0010501	RNA secondary structure unwinding	1/823	26/65628	0.0384615384615385	3.06701560893541	1.18797917135608	0.279762609420626	0.492177916402287	0.448366051907197	ENSMUSG00000036698(Ago2)	1	biological_process
GO:0010506	regulation of autophagy	2/823	122/65628	0.0163934426229508	1.30725255462821	0.382799898049747	0.453408362913222	0.590862971462851	0.538266527010154	ENSMUSG00000034354(Mtmr3)/ENSMUSG00000024283(Wac)	2	biological_process
GO:0010507	negative regulation of autophagy	3/823	100/65628	0.03	2.39227217496962	1.57017342714716	0.131244050466227	0.468540312922619	0.426832580787245	ENSMUSG00000038612(Mcl1)/ENSMUSG00000045962(Wnk1)/ENSMUSG00000024101(Washc1)	3	biological_process
GO:0010508	positive regulation of autophagy	5/823	146/65628	0.0342465753424658	2.73090430932605	2.35952973846057	0.0374782933090401	0.331183543166418	0.301702804529718	ENSMUSG00000030660(Pik3c2a)/ENSMUSG00000015837(Sqstm1)/ENSMUSG00000114152(Gm5374)/ENSMUSG00000022255(Mtdh)/ENSMUSG00000037204(Atg101)	5	biological_process
GO:0010571	positive regulation of nuclear cell cycle DNA replication	1/823	19/65628	0.0526315789473684	4.19696872801688	1.57061743986229	0.213220217490443	0.474095999091945	0.431893720245887	ENSMUSG00000031229(Atrx)	1	biological_process
GO:0010586	miRNA metabolic process	3/823	38/65628	0.0789473684210526	6.29545309202532	3.67970535028973	0.0119655284723219	0.20848412321266	0.18992563480599	ENSMUSG00000080848(Gm9385)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000036698(Ago2)	3	biological_process
GO:0010591	regulation of lamellipodium assembly	1/823	16/65628	0.0625	4.98390036452005	1.79603070727824	0.182854408354093	0.468540312922619	0.426832580787245	ENSMUSG00000006445(Epha2)	1	biological_process
GO:0010593	negative regulation of lamellipodium assembly	1/823	18/65628	0.0555555555555556	4.43013365735115	1.6402090833784	0.203225623497739	0.473017224805302	0.430910974471074	ENSMUSG00000046546(Fam43a)	1	biological_process
GO:0010594	regulation of endothelial cell migration	2/823	11/65628	0.181818181818182	14.4986192422401	5.04561885171969	0.00801427647771161	0.175779248467574	0.160132027496742	ENSMUSG00000082100(Glns-ps1)/ENSMUSG00000024122(Pdpk1)	2	biological_process
GO:0010596	negative regulation of endothelial cell migration	2/823	40/65628	0.05	3.98712029161604	2.12964615121583	0.0896812360499391	0.468540312922619	0.426832580787245	ENSMUSG00000030551(Nr2f2)/ENSMUSG00000000753(Serpinf1)	2	biological_process
