id	baseMean	log2FoldChange	pvalue	padj	Direction
ENSMUSG00000039748(Exo1)	2.49833627338939	1.77512207244292	0.35732965118086	NA	No
ENSMUSG00000057363(Uxs1)	58.8510808889564	0.294244879057784	0.462978003817021	0.659326505999278	No
ENSMUSG00000090243(Gm16103)	0.633572030698393	-2.99198364463134	0.469133800983705	NA	No
ENSMUSG00000100701(Gm19587)	4.41815541641883	-1.30483744130896	0.354343342008331	NA	No
ENSMUSG00000100555(Gm8173)	5.12537639193847	0.505394016980504	0.711011755343377	NA	No
ENSMUSG00000101395(Gm8241)	0.66102560061274	0.596234934613863	0.874448039633371	NA	No
ENSMUSG00000038702(Dsel)	7.291581206895	0.97041368856184	0.387731147852167	NA	No
ENSMUSG00000078184(Rbm8a2)	133.413050460304	-0.592109824020234	0.0372024086684339	0.129075755074894	No
ENSMUSG00000061024(Rrs1)	5.75011493178671	-0.276054656814982	0.822017042297628	NA	No
ENSMUSG00000025911(Adhfe1)	1.70515602593202	-0.0776570965702499	0.97359447687429	NA	No
ENSMUSG00000081441(Gm6161)	6.05753004463963	-0.863485457393182	0.467640809090292	NA	No
ENSMUSG00000057335(Cep170)	36.076737370921	0.747005300505942	0.139925321375017	0.312415081179129	No
ENSMUSG00000025912(Mybl1)	58.8039608218803	0.760078261263204	0.0750701212492732	0.207200493792133	No
ENSMUSG00000045210(Vcpip1)	67.0382088643317	0.5722308190002	0.137920038669132	0.310031551359795	No
ENSMUSG00000041763(Tpp2)	88.7669079549842	1.23311488024044	0.000544018247120129	0.00494332013979347	Up
ENSMUSG00000026483(Niban1)	4.45497988882945	-0.121884511296524	0.9295763762036	NA	No
ENSMUSG00000019699(Akt3)	49.3734523751531	0.31836050311117	0.483155893722146	0.674660179083101	No
ENSMUSG00000063659(Zbtb18)	20.4290360521047	0.137219422320982	0.85252942344979	0.920877472225986	No
ENSMUSG00000026049(Tex30)	7.80344431653729	0.611744562419887	0.560996136459516	NA	No
ENSMUSG00000043019(Edem3)	12.0868538901423	1.332421057611	0.144638470468713	NA	No
ENSMUSG00000032666(1700025G04Rik)	20.5112921559679	0.37903677744413	0.572639237263246	0.745900982062773	No
ENSMUSG00000015961(Adss2)	92.5272797279039	0.670378539786964	0.0504111484293285	0.158730487874911	No
ENSMUSG00000014980(Tsen15)	5.32916525115336	-0.333225714375889	0.7940375189643	NA	No
ENSMUSG00000026235(Epha4)	20.252822659647	0.265654216718232	0.687134719426813	0.816958512889749	No
ENSMUSG00000026047(Poglut2)	5.49367318520747	0.24088163634516	0.845373846641226	NA	No
ENSMUSG00000041684(Bivm)	5.07033450889073	1.05531394063269	0.424209499755163	NA	No
ENSMUSG00000026048(Ercc5)	0.884039236690242	-3.48249806951624	0.295140372218252	NA	No
ENSMUSG00000101567(Txn-ps1)	175.08198471402	-0.718706350828404	0.00445666977064083	0.0276802986621594	No
ENSMUSG00000026245(Farsb)	5.86006395466315	0.0440908440949293	0.971031613083121	NA	No
