Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	8	2
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	5	1
Cupriavidus metallidurans	4	5	7.896	4	5	2	4	8	1	3	2	9	4	5	2	6.871	9	2.597	4	6	5	25	33	38
Candidatus Korobacter versatilis	13	13	35	25	22	15	57	65	146	85	108	118	98	85	83	134	58	94	14	13	24	19	19	25
Sphingopyxis alaskensis	1	1	1	1	1	4	0	0	0	4	6	2	1	1	0	1	0	1	3	0	6	17	1	18.892
Sphingopyxis alaskensis	1	3	5	0	8	11	1	0	0	0	0	0	5	0	0	0	1	0	1	0	0	5	6	3
Myxococcus xanthus	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	1	0	0	0
Rubrobacter xylanophilus	13	0	0	0	1	2	13	1	47	155	12	2	6	2	19	55	2	0	0	0	0	0	0	0
Cytophaga hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1
Cytophaga hutchinsonii	0	0	1	3	1	7	3	1	11	3	10	1	2	1	2	3	4	1	0	0	0	0	0	0
Rhodococcus jostii	1	1	2	1.271	1	2	0	0	1	4	4	7	2	0	0	4	5	0	1	0	0	0	0	0
Rhodococcus jostii	0	0	1	1	0	0	1	1	0	2	0	4	1	4	0	0	2	0	0	0	0	0	0	0
Rhodococcus jostii	1	1	6	6	2	0	1	2	3	6	8	14	3	12	0	2	19	0	3	0	0	13	0	2
Rhodococcus jostii	0	0	0	0	0	1.914	0	0	0	0	0	0	0	0	2.738	0	1.794	4.019	0	0	0	0	0	0
Arachis hypogaea	87.044	59	106.698	89.585	77	83.516	143.149	124.988	204	151.072	210.302	224.573	302.426	130.326	191.686	246.14	138.45	211.145	33.202	74.57	64.508	27.064	32.422	40.37
Terrabacter sp. HH4	2	3	8	5	4	9	6	0	6	3	10	3	3	6	1	2	2	0	3	3	3	2	0	2
Streptomyces sp. 139	16	14.852	17	28	17.497	36.937	11.349	9.576	25	15.843	25.284	30.32	12.451	11.18	11.861	15.754	17	6.634	23.596	7.497	22	16.717	11	23.96
Nitrosomonas eutropha	1	2	0	5	9	1	7	11	15	22	24	34	0	4	8	25	0	4	0	0	0	0	0	0
Burkholderia ambifaria	21	36	7	14	25	40	22	5	20	3	8	18	18	13	25	31	15	24	1	0	0	4	1	0
Burkholderia ambifaria	5.289	25	5	8.851	18	16	16	11	11	3	2	3.16	10	4	10.383	19.098	5	17	0	0	0	0	0	2
Burkholderia ambifaria	1	1	1	0	0	2	0	1	0	1	1	0	5	0	3	0	0	1	0	0	0	0	0	0
Burkholderia ambifaria	10	34	6	17	38	37	19	10	10	9	2	8	20	1	4	21	2.679	30.645	0	0	1	3	0	1
Burkholderia ambifaria	16	40	5	10	27	27	24	16	11	2.644	4.878	7	11	11	20	13.052	7	17	0	0	0	0	0	0
Burkholderia ambifaria	30	34	8	11	35	40	24	10.912	21	3.711	4	13	16	8	13	12.69	10	18.743	0	1	0	0	0	1
Burkholderia ambifaria	28	47	7	19	38	43	22	29	16	5	1	15	15	7	23	24	9	13	0	0	0	2	0	1
Burkholderia ambifaria	25.745	21	9.662	7	14	5	2	11	8.511	11	1	6	17.906	1	7	5	1	4.254	2	0	1	2	1	2
Burkholderia ambifaria	6	14	3	5	14	20	10	9	4	4	3	4.303	3	5	3	11	4	15.875	0	0	0	0	0	0
Burkholderia ambifaria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	16	38	5	9	39.757	14	20	16.544	15	6	3	13	12	11	18.831	23	12	30.339	1	2	0	6	1	5.229
Burkholderia ambifaria	16	26.348	6	9.798	47.86	24	12	9.554	12.652	3	4	7.577	14	4	11.932	22.05	7.894	27.851	0	0	1	2	0	0
Burkholderia ambifaria	12	0	0	0	1	0	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	6	3.192	0	1	9.184	2.089	0	4	3.478	4.74	0	0	9.384	1	2	2.041	0	1	0	0	0	1.592	0	1.329
Burkholderia ambifaria	8.301	20.905	4.632	9.102	34.055	24	8	3.182	4	4	0	4.359	3.035	3	6	10.861	2	9.66	0	1	0	2	0	0
Burkholderia ambifaria	18	38	14	15	21	30	17.543	14	25	9	1	14	22.651	6	25	25	7	20	2	0	0	0	3	2
Burkholderia ambifaria	18	7.348	2.475	0	6.59	7	2	1	4	1	1	1	6	0	2.476	2	2	4.371	0	0	0	4	0	0
Arthrobacter sp. FB24	0	0	1	1	0	0	1	0	0	14	13	5	1	0	0	3	3	1	0	0	0	0	0	0
Arthrobacter sp. FB24	0	1	1	2	0	0	2	0	0	15	19	6	3	0	0	6	3	7	0	0	0	0	0	0
Arthrobacter sp. FB24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
Arthrobacter sp. FB24	1	1.431	3	2	1	4.218	2	1	2	25.268	8.806	3.17	0	0	1.321	6.918	0	21.839	2	0	3	2	1	0
Arthrobacter sp. FB24	1	3	3	4.679	1	4	2	1	0	28.851	12.95	10	3	3	1	10.274	3	13	2	1	2	2	5	1
Arthrobacter sp. FB24	0	2	3	1.138	1	5.381	1	0	2.636	33	14	9	2	2	0	9	4	15	0	0	3.078	0	0	0
Burkholderia cenocepacia	1	3	0	2	4	7	1	8	2	1	0	1	0	0	14	1	2	9.607	0	0	0	0	0	0
Burkholderia cenocepacia	4	3	0	0	5	4	1	0	2	1	2	3	2	0	3	4	3	2	0	0	0	0	0	0
Burkholderia cenocepacia	1.093	0	5.45	0	38	0	3.074	5	2.069	1.099	0	1.068	4.129	0	1.018	1.056	6.387	9.973	0	2	2	4	1	2
Burkholderia cenocepacia	14	7	8	4	30	3	1	8	14	9	1	3	19	0	6	5	2.131	13	0	0	0	0	0	0
Methanothrix thermoacetophila	0	0	0	0	0	0	0	0	0	0	0.706	1	2	1.85	0	0	0	0	0	0	0	0	0	0
Acidothermus cellulolyticus	0	0	2	11	1	7	1	2	4	7	2	5	1	1	3	6	0	2	0	0	0	0	0	0
Mycolicibacterium smegmatis	5	5	2	2	5	3	3	1	4	2	4	2	0	3	2	1	2	0	5	1	5	3	0	2
Bacillus thuringiensis	1	0	0	0	1	1	0	0	0	0	4	1	0	0	0	2	24	3	1	0	0	0	0	0
uncultured bacterium	0	0	0	1	0	0	7.974	1.841	3	2.918	7.95	1	1.901	3	6.911	0	3	3	0	0	0	0	0	0
uncultured bacterium	0	1	0	0	0	1	1	4	10	6	8	19	1	5	1	9	2	3	0	0	0	0	0	0
uncultured bacterium	3	0	0	0	0	0	1	3	2	2	2	2	6	1	6	3	1	2	0	0	0	0	0	0
Populus trichocarpa	2	2	2	1	5	0	22	13	41	85	33	29	32	35	53	44	47	133	2	4	8	9	29	35
Paracoccus denitrificans	21.969	11.48	9.373	27.077	16.689	19.891	33.653	29.742	61.686	40.823	50.566	86.841	33.202	34.356	40.205	49.232	22.391	30.342	0	3.068	8.235	0	5.148	4.16
Nocardioides sp. JS614	0	4	2	0	1	15	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. JS614	5	22	2	15	10	25	2	3	3	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. JS614	3	3	4	1	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1
Nocardioides sp. JS614	27	146	3	125	69	137	2	9	10	1	9	3	5	2	4	0	2	3	0	0	0	0	1	0
Paenarthrobacter aurescens	2.278	0	1.207	1	5	0	3.285	1.24	2	8.064	18.294	20.334	1.471	1	5.322	6.804	27.628	44.401	0	2.994	3.052	1.016	2.092	0
Paenarthrobacter aurescens	4	0	5	0	1	4	0	0	0	17.327	37.123	30.913	0	0	5	21.075	27.296	57.543	0	0	0	0	0	1
Paenarthrobacter aurescens	0	0	0	1	0	0	0	0	0	2.673	5.877	6.087	0	0	3	11.925	8.704	24.457	0	0	0	1	0	0
Paenarthrobacter aurescens	2	0	4	0	0	5	0	1	0	12	11	7	1	1	2	13	10	23	0	0	1	2	1	1
Paenarthrobacter aurescens	2	5	3	0	4.216	8	3	2	1	40.463	28	47.461	3	0	11	42.744	44.867	96.202	0	3	5	1	1	0
Paenarthrobacter aurescens	9	7	7	5	3	5	7	3	3	21	8	7	4	5	2	14	6	32	1	0	1	0	1	3
Paenarthrobacter aurescens	7	5.99	5	1	4	4.787	0	1	3	19.76	7.316	7.422	3.913	2	3	15.157	13.875	39.816	1	0.784	3	0	0	1.939
Paenarthrobacter aurescens	0	0	1	4	1	2.289	0	2	0	9	9	20	2	1	4	7	21.633	33	0	0	0	0	0	0
Paenarthrobacter aurescens	0	0	3	2	0	0	0	0	0	4.97	4.613	1.17	0	0	0	11	13.897	26.88	1	0	0	0	1	1
Paenarthrobacter aurescens	2	1.057	5	2	1	0	0	2	0	10	19	27	1	0	10	25.936	17	33	0	0	2	2.589	0	1
Paenarthrobacter aurescens	0	7	0	0	1	6	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
Paenarthrobacter aurescens	2	14	0	17	5	7	1	2	1	0	2	1	2	1	2	0	1	0	0	0	0	0	0	0
Paenarthrobacter aurescens	2	21	0	11	5	14	1	3	2	0	3	1	1	0	1	0	1	0	1	0	0	0	0	0
Paenarthrobacter aurescens	4	74	4	43	15	34	1	5	2	1	1	1	2	2	4	0	4	1	2	0	1	0	0	0
Capniomyces stellatus	6	1	0	0	0	59	2	0	0	0	0	0	2	0	1	11	2	0	0	0	0	0	0	0
Polaromonas naphthalenivorans	29	3	5	0	11	0	0	0	2	3	0	6	8	1	0	0	3	11	0	0	0	0	0	0
Sinorhizobium meliloti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	3
Sinorhizobium meliloti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	1	10
Burkholderia pseudomallei	9	6	2	3	186	0	0	19	3	2	0	3	3	0	0	0	8	6	0	0	0	0	0	0
Burkholderia pseudomallei	26	44	13	13	56	31	13	20	24	20.675	14	23	26	8	39	39	17.904	54	0	0	0	8	1	10
Acinetobacter baumannii	1	0	0	1	0	0	0	0	0	144	3	1	0	0	0	1	2	1	0	0	0	0	0	0
Acinetobacter baumannii	14	5	1	1	1	0	0	0	0	45	15	0	0	0	0	4	1	3	0	0	0	0	0	0
Pseudomonas putida	1	3	1	4	2	2	31.637	19.504	32.038	12.669	33.438	11.329	7	8	15.323	6	9	8.59	0	0	0	0	0	0
Pseudomonas putida	0	4	0	8	0	1	32.363	23.496	37.962	30.331	44.562	27.671	14	11	13.677	10	10	7.41	0	0	0	0	0	0
Burkholderia vietnamiensis	18	14	0	0	2	1	1	2	4	3	0	1	5	1	0	0	3	8	0	0	0	0	0	0
Burkholderia vietnamiensis	14.319	74	8	9	33.872	48.908	30	10	23.741	7.575	4	17.86	18	16	22	27.465	8	39.931	1	0	3	3	1	3
Burkholderia vietnamiensis	10	1	2	0	4	0	1	0	0	2	0	1	1	1	1	6	1	10	0	0	0	0	0	0
Burkholderia vietnamiensis	22	33.85	8.634	11	22.654	32.689	18	12.497	25.58	6.888	5	10.383	18	10.392	10.587	29.87	15.348	18.562	1	0	1	5.699	4.086	5
Burkholderia vietnamiensis	0	0	0	0	0	7	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Burkholderia vietnamiensis	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	22	0	0	0	0	0	0
Burkholderia vietnamiensis	0	0	1	0	0	0	0	0	1	4	3	7	0	0	11	2	1	62	0	0	0	1	0	0
Burkholderia vietnamiensis	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0
Burkholderia vietnamiensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0
Burkholderia vietnamiensis	0	0	0	0	3	0	0	0	0	0	0	1	0	0	45	0	0	2	0	0	0	0	0	0
Aeromonas salmonicida	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	70	0	0	0	0	0	0
Enterobacter sp. 638	3	0	1	2	1	6	0	2	0	47.076	8.713	6.34	0	0	1	17.79	2	229.489	0	0	0	0	0	0
Enterobacter sp. 638	5	3	1	0	2	3	0	0	0	24.81	1	2	0	0	2	9	1	115.191	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	0	2	1	0	0	0	57	3	3	0	0	0	24	5	231.271	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	0	1	0	0	0	0	11	0	1	0	0	0	6	0	54	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	1	0	0	0	0	0	9.07	1.107	1	0	0	0	6.603	2	102.005	0	0	0	0	0	0
Enterobacter sp. 638	4.441	2	2	1	1	3.421	0	0	0	22.263	3.722	2	1	0	4	19.307	0	110.318	0	0	0	0	0	0
Enterobacter sp. 638	1	0	0	0	0	0	0	0	0	14	4	1	0	0	1	18.547	3	107	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	7	0	81	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	1	0	16	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0.333	0	0	2.457	0	0	0	14.099	1.39	1	0	1	0	10.899	2	92.035	0	0	0	1	0	0
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	10	0	0	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0
Flavobacterium johnsoniae	2	0	1	0	15	4	0	0	0	3	43	1	1	0	0	20	2	12	0	0	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Acidiphilium cryptum	1	0	3	1	1	0	10	5	12	4	2	4	1	3	3	10	1	1	0	0	0	0	0	0
Acidiphilium cryptum	0	0	1	4	0	0	43	6	0	0	0	2	2	5	2	10	0	5	0	0	0	0	0	0
Acidiphilium cryptum	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	52	3	5	0	0	0	0	0	0
Bradyrhizobium sp. BTAi1	1	0	2	0	0	0	1	6	18	6	14	3	3	1	6	9	6	4	0	0	3	1	3	1
Bradyrhizobium sp. BTAi1	1	3	2	0	1	1	1	2	0	1	1	3	1	2	2	0	0	3	9	4	9	42	16	76.449
Bradyrhizobium sp. BTAi1	2	3	4	1	10	3	0	1	2	1	1	9	5	7	3	2	3	7	0	0	0	0	0	0
Bradyrhizobium sp. BTAi1	4	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rhizorhabdus wittichii	6	64	3	3	15	24	1	3.258	4	3.055	4	1	4.159	2.117	1	2.087	3.061	1.011	2.252	6	3	13	4	14
Rhizorhabdus wittichii	6	61	3	0	4	19	2	0	1	2	1	4	3	4	4	4	4	0	3	1	5	16	3	6
Rhizorhabdus wittichii	0	5	2	1	12	15	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0
Rhizorhabdus wittichii	8	32	28	11	8	55	1	7	1	0	1	3	1	5	1	0	8	5	0	0	0	0	0	0
Rhizorhabdus wittichii	0	2	1	2	1	5	3	3	11	6	8	14	11	4	6	1	6	1	0	0	0	0	0	0
Rhizorhabdus wittichii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizorhabdus wittichii	1	8	3	1	2	4	1	3	3	3	0	1	1	4	3	0	5	2	0	0	0	0	0	0
Rhizorhabdus wittichii	2	8	3	1	1	0	5	8	15	14	10	10	21	23	39	14	13	13	0	0	0	0	0	0
Rhizorhabdus wittichii	1	0	1	1	2	0	1	1	0	0	1	2	1	1	0	1	1	1	5	4	4	39	7	33
Rhizorhabdus wittichii	0	1	0	1	1	1	4	2	10	5	17	5	18	4	5	2	7	1	0	0	0	0	0	0
Rhizorhabdus wittichii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	3	18	8	19
Rhizorhabdus wittichii	1.077	32	1	1.789	0	6.267	0	1	0	0	5.352	3.364	3.035	4.333	1.542	7.922	2.344	1.022	0	0	3.743	3.549	3.534	0
Rhizorhabdus wittichii	5.293	30	1	3.665	11.736	16.733	2	4	1.5	7	9.648	5.636	7.965	5.399	3.458	11.078	4.122	10.361	3	5	1.592	5.451	3.466	11
Rhizorhabdus wittichii	0	0	8	0	1	0	2	0	0	5	0	1	0	0	0	0	0	0	1	3	1	13	2	2
Rhizorhabdus wittichii	0	1	3	0	0	6	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	4
Rhizorhabdus wittichii	1	18	28	10	22	13	1	2	2	5	6	1	1	0	1	0	2	5	5	3	11	26	12	31
Rhizorhabdus wittichii	7	51	45	16	28	52	5	8	2	7	2	2	2	6	0	0	10	5	4	4	7	40	21	46
Rhizorhabdus wittichii	11	42	91	29	20	107	2	17	5	6	7	5	2	10	11	1	9	6	4	2	4	7	6	18
synthetic construct	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1118	0	0	0	0	0	0	0
synthetic construct	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	1	2261	0	0	0	0	0	0	0
synthetic construct	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	1	2501	0	0	0	0	0	0	0
synthetic construct	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	9450	0	0	0	0	0	0	0
synthetic construct	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1992	2	0	0	0	0	0	0
Arthrobacter sp. Chr15	0	2	0	0	3	0	1	1	4	41.155	28	14	0	1.103	1	5	10	26	1	0	0	1	0	0
Populus tremuloides	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Flavobacterium johnsoniae	0	0	0	0	2	1	0	0	0	2	7	0	0	0	0	3	0	1	0	0	0	0	0	0
Janthinobacterium sp. Marseille	0	0	2	8	2	0	0	0	1	6	34	1	2	0	1	13	1	3	0	0	0	0	0	0
Janthinobacterium sp. Marseille	7	7	3	14	14	11	7	7	22	17	21	13	5	3	8	7	15	6	0	0	0	0	0	0
Kineococcus radiotolerans	2	2	0	1	0	0	2	2	5	1	1	0	19	3	11	6	7	8	0	0	0	0	0	0
Brucella anthropi	2	4	0.5	1	1	0.5	0	0	1	7	3.623	1	0	1	0	4	1	1.356	0	0	0	24	2.735	13.782
Brucella anthropi	0	0	0.5	0	3	0.5	0	0	0	0	2.377	1	0	0	0	0	0	4.644	0	0	0	19	1.265	1.218
Anaeromyxobacter sp. Fw109-5	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	5	1	2
Anaeromyxobacter sp. Fw109-5	0	0	1	3	0	0	9	8	13	11	13	13	6	6	3	9	3	3	0	0	0	0	0	1
Anaeromyxobacter sp. Fw109-5	1	5	4	1	4	3	12	6	14	13	17	11	26	17	10	9	7	8	0	1	0	1	0	1
Anaeromyxobacter sp. Fw109-5	27	3	24	12	6	16	6	2	3	3	4	7	1	4	1	6	3	2	1	0	2	0	1	0
Xanthobacter autotrophicus	9	0	2	4	7	3	8	10	7	10	24	23	7	7	3	6	10	6	4	3	1	4	0	8
Xanthobacter autotrophicus	4	2.035	7.02	4	3.583	5.482	3	6.364	5	2.133	4	5	6.68	3	2	30.631	1.183	9.064	9	13.073	4.855	6.187	7.461	8.441
Xanthobacter autotrophicus	0	2	0	0	0	2	0	0	0	0	2	0	1	0	1	10	1	1	0	0	1	4	1	0
Xanthobacter autotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	1	2	1	3	2	0
Xanthobacter autotrophicus	0	1	0	0	0	0	1	1	1	2	11	3	0	0	0	1	4	3	0	0	0	0	0	0
Acinetobacter baumannii	6	2	1	0	0	0	0	0	0	27	3	0	0	0	0	0	1	0	0	0	0	0	0	0
Akanthomyces lecanii	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uncultured bacterium Bio5	0	0	0	2	0	1	5	4	10	10	16	14	1	6	3	17	3	1	0	0	0	0	0	0
Cronobacter sakazakii	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Citrobacter koseri	3	0	0	0	0	1	0	0	0	3	0	0	0	0	2	2	0	12	0	0	0	0	0	0
Citrobacter koseri	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0
Citrobacter koseri	0	0	0	0	0	0	0	0	0	2	1	0	0	0	13	0	0	84	0	0	0	0	0	0
uncultured Acidobacteria bacterium cosmid p2H8	0	0	12	0	0	0	1	6	0	0	0	0	0	3	0	0	0	0	0	4	0	2	1	0
uncultured Acidobacteria bacterium cosmid p2H8	1	0	54	0	2	0	0	6	0	0	0	0	3	5	0	0	0	0	0	6	0	0	3	2
Acrobeloides maximus	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	25	0
Mesorhabditis sp. 'Bursilla' PS1179	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
Frankia sp. EAN1pec	0	0	0	0	1	0	0	0	3	2	2	1	0	0	1	1	0	0	0	0	0	0	0	0
Frankia sp. EAN1pec	2	1	1	0	4	1.141	0	11	2	0	0	2	6	1	10	0	0	3	1	1	1	2	1	1
Frankia sp. EAN1pec	6	85	1	119	64	59	0	1	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
Frankia sp. EAN1pec	2	0	0	2	2	14	0	0	10	2	2	10	1	0	1	3	6	0	0	0	0	0	0	0
Frankia sp. EAN1pec	1	0	0	0	0	0	1	0	3	0	2	2	6	1	5	14	0	1	0	0	0	0	0	0
Frankia sp. EAN1pec	2	0	1	0	0	0	12	3	16	3	5	22	52	8	38	92	6	11	0	0	2	0	0	0
Frankia sp. EAN1pec	2	0	1	0	0	0	7	4	14	6	7	12	29	2	30	65	4	13	0	0	0	0	0	0
Pleurotus ostreatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0
Burkholderia multivorans	20	6	3	0	11	2	0	5	8	3	1	0	9	2	3	3	1	14.252	2	2	0	21	21	16.914
Burkholderia multivorans	16.512	24	1	13	15.748	9	5	11	19	9	7	29	9	5	12	10	10	14.436	1	0	0	8.633	0	2
Burkholderia multivorans	57.656	104.408	15.878	14.228	60.366	85.967	54.855	43.717	58.735	27.153	13.717	22.834	43.652	18.351	59.009	84.229	25.22	59.853	0	2	2.255	1.32	0	3.924
Burkholderia multivorans	44	99.772	21	26	74	80	60	38	45	13	4	39	38	25	49	68	18	70	0	1	0	0	1	1
Burkholderia multivorans	1	9	8	3	19	1	2	3	10	3	0	2	4	0	5	1	3	50	0	0	0	0	0	2
Burkholderia multivorans	8	4	3	5	15	3.14	1	1	11	2	2	1	1	0	8	0	1	31.669	0	0	0	0	0	0
Salmonella enterica	6	1	0	0	0	3	0	0	0	7.059	0	1	0	0	0	6	0	19	0	0	0	0	0	0
Lactococcus lactis	6	5	10	5	7	7	0	0	0	11	14	0	0	0	0	60	19	47	0	0	0	0	0	0
Chloroflexus aurantiacus	1	1	0	0	0	1	5	1	4	5	12	39	7	2	5	4	8	2	0	0	0	0	0	0
Pseudomonas putida	0	0	1	0	1	0	0	0	0	13	0	0	0	0	2	1	0	30	0	0	0	0	0	0
Pseudomonas putida	3	4	1	1	2	0	0	0	0	45.244	1	0	0	0	21.27	12.552	5	63.853	0	0	1	0	2	1
Pseudomonas putida	3	5	5	3	4	5	2	0	1	73	5	2	0	0	32	18	7	144.445	1	0	1	8	3	9
Pseudomonas putida	1	1	0	1	1	1	0	0	0	49	2	0	0	1	8	21	4	103	0	0	0	3	3	2
uncultured marine microorganism HF4000_48F7	12.44	6.767	13.521	3	6	9	14.128	4.008	44	51.742	6.41	20.602	46.509	9	66.286	10.458	27.008	25.744	0	0	0	0	0	0
uncultured marine microorganism HF4000_48F7	9.56	4.233	8.479	20	6	10	10.872	6.992	73	108.258	16.59	25.398	84.184	18	93.714	22.542	24.992	34.256	0	0	0	0	0	0
uncultured marine crenarchaeote HF4000_ANIW93E5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptospira biflexa	1.592	0	0	1.957	2.921	0	2.932	4.288	13.529	5.952	10.328	4	7.618	5.961	11.411	6	3	6.149	0	0	0	0	0	0
Burkholderia orbicola	5	4	1	1	62	3	1	8	4	2.101	1	3	4.063	1	3.108	3.388	7.233	13.401	0	2	3.465	1.116	1.037	1.026
Burkholderia orbicola	5	6	4	0	2.084	0	1.027	3.299	3	5.347	0	6	7.252	2	1.019	2.098	0	10.184	0	0	0	5.727	0	3.987
Burkholderia orbicola	12	24	6	6	17.916	29	21.973	15.61	18	3.972	5	15	18.681	9	30.981	27.648	8	28.292	1	2	0	1.273	3	4.013
Burkholderia orbicola	0	2	1	3	1	2	7	1	4	1	1	5	3	0	3	6.076	2	3	0	0	0	0	0	0.5
Burkholderia orbicola	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	84.155	141.476	26.036	49.628	106.714	88.803	70.926	54.588	50.43	27.606	19.724	41.324	52.152	13	68.089	81.513	30.748	92.052	7.382	5.535	10.584	14.08	7.912	5.625
Burkholderia ambifaria	46.565	40.09	4.629	11.304	35.065	12.876	6.423	4.026	26.641	9.044	2	6.147	24.539	1	8.442	13.853	0	17.854	0	0	0	2	0	1
Burkholderia ambifaria	63	93	29	27	150	76	39	47	48	19	19	30	51	21	31	61	22	62	1	1	2	6	4	5
Burkholderia ambifaria	13	27	4	3	17	21	20	9	11	4	2	8	10.877	2	12	16.927	8	8.858	0	0	0	0	0	0
Opitutus terrae	0	1	0	2	0	0	8	4	4	2	8	13	6	5	7	6	4	9	0	0	0	0	0	0
Beijerinckia indica	1	3	3	1	0	5	2	2	4	7	3	2	5	2	6	2	1	4	0	0	0	0	0	0
Beijerinckia indica	1	31	0	0	5	3	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter baumannii	2	1	2	0	1	0	0	0	0	62	16	0	0	0	1	4	3	11	0	0	0	0	0	0
Acinetobacter baumannii	0	0	0	0	0	1	0	3	0	31	5	1	0	0	0	7	3	22	0	0	0	0	0	0
Paraburkholderia phymatum	3	2	1	0	6	2	3	2	2	2	2	2	3	4	1	4	1	17	1	0	1	5	3	4
Paraburkholderia phymatum	0	2	1	1	2	0	0	2	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	5
