Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Agrobacterium fabrum	0	0	0	1	4	0	0	0	0	0	2	0	0	0	2	4	1	3	1	0	1	3	1	10
uncultured bacterium	5	0	7	2	14	2	2	11	0	2	2	3	7	0	19	3	6	9	0	0	0	0	0	0
Nocardioides sp. C190	0	3	2	39	6	22	0	2	5	3	3	1	0	1	2	3	1	0	0	0	0	0	0	0
Heterodera glycines	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0
Heterodera glycines	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	2	0	0	29	0
Streptococcus pyogenes	1.124	2.427	11.212	4.08	3.346	8.483	0	0	0	4.713	2.116	0	1	0	1	16.527	4.135	19.416	0	4	0	0	0	0
Yersinia pestis	15	6	16	4	11	21	1	0	0	209	21	25	2	0	35	69	21	493	1	0	0	0	1	2
Citrus trifoliata	1	0	2	5.139	0	3	3.967	1	33.543	35.369	14.543	11.394	7.226	0	10.186	9.37	27.172	26.107	11	38	95.188	140.479	248.621	277.735
Pseudomonas putida	2	0	0	0	2	1	0	0	0	23	3	0	0	0	10	9	1	36	0	0	0	0	0	1
Pseudomonas putida	6.502	9	9.602	3.819	11.199	5.502	6.46	2.305	2.008	226.28	12.288	7.543	2.142	0	40.791	51.311	14.139	368.976	5.563	2	9	10	2	11.055
Pseudomonas putida	2	1	0	1	1	2	1	0	0	30	1	0	0	0	17	14	4	57	0	0	2	2	0	5
Pseudomonas putida	0	0	0	0	0	1	2	2	0	25	0	0	0	0	10	5	2	52	0	0	0	1	2	0
Pseudomonas putida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.183	0	0	0	0	0	0
Pseudomonas putida	0	1	0	0	1	1	0	0	0	37	3	2	0	0	11	8.457	2	87	0	0	0	3	0	0
Pseudomonas putida	6	3	2	0	5	2	3	0	2	64	0	1	0	0	26	14	2	65	0	0	0	1	0	2
Pseudomonas putida	0	1	1	0	2	0	2	0	0	63	2	0	0	0	12	12	2	42	0	0	0	1	0	0
Escherichia coli	0	5.028	0	10.444	0	13.103	45.154	22.231	49.225	34.922	40.818	56.323	6.556	16.523	28.318	59.138	11.131	11.646	3.542	0	2.273	0	2.318	3.182
Escherichia coli	5.41	3.702	0	1.436	8.566	3.515	17.263	8.103	22.791	22.465	52.82	43.485	20.072	11.696	36.785	35.312	31.548	17.956	2.359	0	3.691	0	12.28	8.185
Escherichia coli	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	6	0	0	0	0	0	0
Ceratitis capitata	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1587	0	0	0	0	0	0	0
Blumeria hordei	0	0	0	0	0	0	0	0	11	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Enterobacter cloacae	7	4	1	1	4.857	2.918	0	0	0	7.871	0	0	1	0	10.85	9.373	2	36.49	0	0	0	0	0	1.388
Pseudomonas syringae group genomosp. 3	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0
uncultured bacterium	0	0	0	0	0	0	0	26	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Salmonella enterica	0	0	0	0	0	0	0	0	0	46.762	9.374	9.857	0	0	9.852	24.186	5.237	191.484	0	0	0	0	0	0
uncultured bacterium	27	21	54	15	11	18	13	7	0	2	4	2	5	4	1	1	8	1	14	20	13	13	18	7
Cloning vector pDXM32	0	1	1	1	0	0	4	14	17	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0
Mordwilkoja vagabunda	0	0	0	0	0	0	7	0	6	12	0	11	0	0	0	5	4	1	0	0	0	0	0	0
uncultured Acidobacteriota bacterium	42.173	13	31.356	11.207	8.692	16	4.13	8.52	2	7	3	11.738	12.466	19	8	3	8	5.811	23.654	29.162	24.336	19.461	22.023	13.65
uncultured Acidobacteriota bacterium	25.093	5	30	1	5	7	0	2	0	3	2	4	0	2	0	2	2	2	0	0	0	0	0	0
Girardia tigrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1267	0	0	0	0	0	0	0
Hartmannella cantabrigiensis	2	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chromobacterium violaceum	3	0	1	0	6	0	1	8	6	0	0	0	0	2	5	0	0	2	0	0	0	0	0	0
Lottia austrodigitalis	0	0	0	0	0	0	0	5	1	0	0	0	1	2	0	0	0	0	1	1	0	0	27	0
Sinorhizobium fredii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18
uncultured marine bacterium 581	32.855	25.603	54.393	26.732	35.881	27.971	38.863	44.48	49.206	45.815	45.714	57.125	92.262	52.474	68.759	51.551	80.785	57.379	49	25.678	25.738	36.444	27.633	41.421
Mycolicibacterium smegmatis	0	0	0	0	1	0	0	1.785	1	4	2	1	3	4.805	6.83	2	0	1.676	0	0	0	0	0	0
uncultured organism	1	2	2	9	1	2	27	43	88	19	14	16	30	51	11	19	15	6	0	0	0	0	0	0
uncultured organism	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Alphatectivirus PRD1	0	0	0	1	0	0	3	2	7	8	25	13	5	0	3	0	2	0	0	0	0	0	0	0
Methylococcus capsulatus	12.707	2.37	11.252	9.254	8.615	2.038	14.671	11.909	4.815	10.853	9.482	25.749	15.296	2.504	22.009	3.243	21.056	15.788	4.405	0	1.146	1.3	1.081	1.163
Methylococcus capsulatus	0	0	2	0	0	0	1	24	0	1	1	1	15.155	24.068	1	0	2	2	14	44.881	5.527	3	21.973	9.626
Methylococcus capsulatus	5	0	4	4	3	2.003	4.469	11	6	11.006	7	15.015	5	4.007	10	11	8	6	2.014	0	1	0	1	3.01
Herminiimonas arsenicoxydans	0	0	2	9	0	1	0	0	0	1	12	2	0	1	0	5	1	3	0	0	0	0	0	0
Fusarium oxysporum	0	0	0	1	0	0	5	0	0	1.382	5.402	0	0	0	1.275	4.489	0	4	0	0	0	0	0	0
Xanthomonas oryzae	0	0	3	2	11	0	0	0	1	1	0	1.156	0	1	0	1	3.641	0	0	0	1	0	0	1
Xanthomonas oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Xanthomonas oryzae	0	2	1.672	2	1	0	2.257	0	10.55	7.001	4.768	11.068	1.255	1	3.333	2.209	0	10.117	0	0	0	0	0	0
Xanthomonas oryzae	0	1	1	0	3	0	2	0	10	1	7	3	0	3	3	5	5	16	2	0	0	2	0	1
Xanthomonas oryzae	0	1	1.328	1	0	4	6.743	5	8.45	4.999	8.232	14.662	4.745	4	8.667	9.791	3	18.883	0	0	0	0	0	0
Xanthomonas oryzae	2	1	1	0	1	5	0	1	0	0	0	0	0	0	0	1	2	3	0	0	0	1	1	0
uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0
Schistosoma japonicum	0	2	2	10	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Heterodera glycines	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	8	0
Xanthomonas campestris	12.321	12.866	33.207	11.658	10.577	16.981	16.69	22.604	55.853	33.875	51.31	50.581	31.709	8.003	31.894	52.353	25.186	18.694	20.6	23.662	25.895	16.948	16.618	26.246
Nitrobacter winogradskyi	0	0	0	1	0	1	1	4	0	3	2	3	3	4	2	2	1	1	0	12	1	0	66	0
Burkholderia cepacia	9	5	2	0	3	1	0	2	2	0	1	1	5	1	1	4	2	12	0	0	1	0	0	0
Burkholderia pseudomallei	6	0	4	5	3	8	1	3	2	3	1	7	3	2	1	6	1	4	0	0	0	4	1	1
Burkholderia pseudomallei	0	3	2	1.689	1	2	2	0	3	2	4	2	6	2	7.9	12	1	7	0	2	0	0	1	1
