ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030593	neutrophil chemotaxis	29	0.353738642713029	1.1195857123425	0.306640625	0.777805148898899	0.726011784811127	896	tags=14%, list=8%, signal=13%	ENSMUSG00000028124(Gclm)/ENSMUSG00000022865(Cxadr)/ENSMUSG00000117969(Gm5826)/ENSMUSG00000079108(Srp54c)
GO:0051233	spindle midzone	16	0.413210662960882	1.1310026377953	0.307101727447217	0.778195777351247	0.726376401656733	2863	tags=50%, list=27%, signal=37%	ENSMUSG00000041498(Kif14)/ENSMUSG00000036202(Rif1)/ENSMUSG00000057897(Camk2b)/ENSMUSG00000080829(Gm8545)/ENSMUSG00000030867(Plk1)/ENSMUSG00000023015(Racgap1)/ENSMUSG00000024795(Kif20b)/ENSMUSG00000017499(Cdc6)
GO:0051091	positive regulation of DNA-binding transcription factor activity	10	0.477639809844479	1.13966195980291	0.309751434034417	0.780228761275559	0.728274010960903	3221	tags=40%, list=30%, signal=28%	ENSMUSG00000040138(Ndp)/ENSMUSG00000061436(Hipk2)/ENSMUSG00000029167(Ppargc1a)/ENSMUSG00000022521(Crebbp)
GO:0007259	receptor signaling pathway via JAK-STAT	12	-0.443540005091995	-1.13488495645871	0.309572301425662	0.780228761275559	0.728274010960903	1601	tags=33%, list=15%, signal=28%	ENSMUSG00000040033(Stat2)/ENSMUSG00000044986(Tst)/ENSMUSG00000040663(Clcf1)/ENSMUSG00000032175(Tyk2)
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	33	0.339441314494955	1.11030020924161	0.308880308880309	0.780228761275559	0.728274010960903	2561	tags=42%, list=24%, signal=32%	ENSMUSG00000084220(Gm12387)/ENSMUSG00000081460(Gm13168)/ENSMUSG00000115743(Gm7004)/ENSMUSG00000018189(Uchl5)/ENSMUSG00000080969(Taf9-ps)/ENSMUSG00000049792(Bag5)/ENSMUSG00000034160(Ogt)/ENSMUSG00000117458(Gm6552)/ENSMUSG00000031010(Usp9x)/ENSMUSG00000022033(Pbk)/ENSMUSG00000024283(Wac)/ENSMUSG00000032481(Smarcc1)/ENSMUSG00000118274(Gm50204)/ENSMUSG00000022710(Usp7)
GO:0007368	determination of left/right symmetry	32	0.342752622543325	1.10524181907199	0.308447937131631	0.780228761275559	0.728274010960903	1860	tags=34%, list=17%, signal=29%	ENSMUSG00000040220(Gas8)/ENSMUSG00000033837(Foxh1)/ENSMUSG00000026836(Acvr1)/ENSMUSG00000040040(Ift88)/ENSMUSG00000024713(Pcsk5)/ENSMUSG00000045039(Megf8)/ENSMUSG00000030768(Disp1)/ENSMUSG00000017858(Ift52)/ENSMUSG00000036632(Alg5)/ENSMUSG00000027878(Notch2)/ENSMUSG00000026575(Nme7)
GO:0045184	establishment of protein localization	22	0.366327934059167	1.10239385482345	0.308712121212121	0.780228761275559	0.728274010960903	2901	tags=36%, list=27%, signal=27%	ENSMUSG00000041498(Kif14)/ENSMUSG00000069601(Ank3)/ENSMUSG00000033149(Phldb2)/ENSMUSG00000040268(Plekha1)/ENSMUSG00000019920(Lims1)/ENSMUSG00000001440(Kpnb1)/ENSMUSG00000030867(Plk1)/ENSMUSG00000042156(Dzip1)
GO:0001664	G protein-coupled receptor binding	26	-0.352069160049706	-1.09963151188484	0.309278350515464	0.780228761275559	0.728274010960903	601	tags=12%, list=6%, signal=11%	ENSMUSG00000020758(Itgb4)/ENSMUSG00000091971(Hspa1a)/ENSMUSG00000090877(Hspa1b)
GO:0005859	muscle myosin complex	24	0.364999779515989	1.1218249865392	0.31015037593985	0.780457847697695	0.728487842718698	865	tags=25%, list=8%, signal=23%	ENSMUSG00000018830(Myh11)/ENSMUSG00000030983(Bccip)/ENSMUSG00000039205(Ciz1)/ENSMUSG00000121006(Gm56689)/ENSMUSG00000087268(Gm14486)/ENSMUSG00000051747(Ttn)
GO:0072593	reactive oxygen species metabolic process	18	-0.391731695757894	-1.12544290853564	0.311340206185567	0.780532134910568	0.728557183211085	2676	tags=61%, list=25%, signal=46%	ENSMUSG00000020108(Ddit4)/ENSMUSG00000078566(Bnip3)/ENSMUSG00000034116(Vav1)/ENSMUSG00000019997(Ccn2)/ENSMUSG00000033268(Duox1)/ENSMUSG00000028893(Sesn2)/ENSMUSG00000025289(Prdx4)/ENSMUSG00000033685(Ucp2)/ENSMUSG00000006519(Cyba)/ENSMUSG00000028195(Ccn1)/ENSMUSG00000044005(Gls2)
GO:0045880	positive regulation of smoothened signaling pathway	26	0.360207091611926	1.11927365369851	0.311411992263056	0.780532134910568	0.728557183211085	1943	tags=38%, list=18%, signal=32%	ENSMUSG00000033276(Stk36)/ENSMUSG00000040220(Gas8)/ENSMUSG00000029122(Evc)/ENSMUSG00000021782(Dlg5)/ENSMUSG00000050382(Kif7)/ENSMUSG00000018189(Uchl5)/ENSMUSG00000026586(Prrx1)/ENSMUSG00000037815(Ctnna1)/ENSMUSG00000054008(Ndst1)/ENSMUSG00000027833(Shox2)
GO:0035307	positive regulation of protein dephosphorylation	37	0.32927907499492	1.1026005608531	0.310940499040307	0.780532134910568	0.728557183211085	1193	tags=14%, list=11%, signal=12%	ENSMUSG00000028124(Gclm)/ENSMUSG00000036810(Cnep1r1)/ENSMUSG00000117969(Gm5826)/ENSMUSG00000081405(Gm13142)/ENSMUSG00000071722(Spin4)
GO:0001726	ruffle	76	0.287363793143008	1.09860307057021	0.310861423220974	0.780532134910568	0.728557183211085	1730	tags=22%, list=16%, signal=19%	ENSMUSG00000114152(Gm5374)/ENSMUSG00000030064(Frmd4b)/ENSMUSG00000033066(Gas7)/ENSMUSG00000026024(Als2)/ENSMUSG00000027331(Knstrn)/ENSMUSG00000004677(Myo9b)/ENSMUSG00000024451(Arap3)/ENSMUSG00000049076(Acap2)/ENSMUSG00000049550(Clip1)/ENSMUSG00000058056(Palld)/ENSMUSG00000022272(Myo10)/ENSMUSG00000027365(Trpm7)/ENSMUSG00000040760(Appl1)/ENSMUSG00000061665(Cd2ap)/ENSMUSG00000030536(Iqgap1)/ENSMUSG00000116838(Gm6475)/ENSMUSG00000021549(Rasa1)
GO:0000244	spliceosomal tri-snRNP complex assembly	10	0.476385980461286	1.13667028778844	0.315487571701721	0.781957490366089	0.729887625494372	2794	tags=40%, list=26%, signal=30%	ENSMUSG00000027628(Aar2)/ENSMUSG00000020850(Prpf8)/ENSMUSG00000000420(Galnt1)/ENSMUSG00000018974(Sart3)
